,expt,cond,rep,time (h),position (μm),redPixelRange,greenPixelRange,greenX0,redX0,GFP shift (μm),RFP shift (μm),[Ampicillin] (mg/mL),[Kanamycin] (mg/mL)
567,J4K5succ250_ampGrad,3x,2,2,250,159-182,150-173,316.15555897629815,284.49684935672235,3.2181871443871732,9.719162441957508,0.31622776601683794,
568,J4K5succ250_ampGrad,3x,2,2,300,174-197,165-188,315.0113922619656,298.3891596922525,2.7065669680057454,8.243079340959014,0.31622776601683794,
569,J4K5succ250_ampGrad,3x,2,2,350,189-212,180-203,315.7076275178689,304.243445028323,4.235845648886142,4.081791301430599,0.31622776601683794,
570,J4K5succ250_ampGrad,3x,2,2,400,204-227,195-218,320.1958105003755,306.3168130337883,5.2669169052268225,7.248936470890328,0.31622776601683794,
571,J4K5succ250_ampGrad,3x,2,2,450,219-242,210-234,316.79498272329744,299.2206981116783,4.420509664986412,9.603611530254852,0.31622776601683794,
572,J4K5succ250_ampGrad,3x,2,4,-150,38-61,30-53,324.32560975958353,277.8441804866628,7.345133248851995,10.144153597050547,0.31622776601683794,
573,J4K5succ250_ampGrad,3x,2,4,-100,53-76,45-68,327.4260136161236,285.8822374138068,7.997212999928081,5.36692090656544,0.31622776601683794,
574,J4K5succ250_ampGrad,3x,2,4,-50,68-91,60-83,314.47727510718533,286.5680020265341,6.4659134050715465,5.997815944204148,0.31622776601683794,
575,J4K5succ250_ampGrad,3x,2,4,0,83-106,75-98,319.22553969076165,294.0662522487911,6.9569066471125325,6.8350286960824755,0.31622776601683794,
576,J4K5succ250_ampGrad,3x,2,4,50,98-121,90-113,321.75359714887816,290.76418444370586,5.342894705290861,10.3601177765467,0.31622776601683794,
577,J4K5succ250_ampGrad,3x,2,4,100,113-136,105-128,325.2029714137596,295.7257972727955,7.6910826486836745,11.32832870909425,0.31622776601683794,
578,J4K5succ250_ampGrad,3x,2,4,150,128-152,120-143,325.6705418149967,298.39065895156176,12.550388779073273,5.004346273993691,0.31622776601683794,
579,J4K5succ250_ampGrad,3x,2,4,200,143-167,135-158,324.78777178678575,290.10338333738645,12.566294815787616,7.891389510602266,0.31622776601683794,
580,J4K5succ250_ampGrad,3x,2,4,250,159-182,150-173,322.53137206611063,282.76295412570363,9.594000234199656,7.985267210938673,0.31622776601683794,
581,J4K5succ250_ampGrad,3x,2,4,300,174-197,165-188,320.3052768094876,295.54383397195016,8.000451515527741,5.397753620656714,0.31622776601683794,
582,J4K5succ250_ampGrad,3x,2,4,350,189-212,180-203,323.5579785244612,302.7617350885273,12.086196655478432,2.6000813616349205,0.31622776601683794,
583,J4K5succ250_ampGrad,3x,2,4,400,204-227,195-218,330.5706715932921,304.2630363019269,15.641777998143425,5.195159739028894,0.31622776601683794,
584,J4K5succ250_ampGrad,3x,2,4,450,219-242,210-234,326.3380864298365,300.6667204174649,13.963613371525526,11.049633836041437,0.31622776601683794,
585,J4K5succ250_ampGrad,3x,2,6,-150,38-61,30-53,329.6300117751037,275.5318110133025,12.649535264372163,7.831784123690228,0.31622776601683794,
586,J4K5succ250_ampGrad,3x,2,6,-100,53-76,45-68,331.4518489115855,284.86556351688085,12.023048295390026,4.350247009639588,0.31622776601683794,
587,J4K5succ250_ampGrad,3x,2,6,-50,68-91,60-83,321.6538615036706,283.8779248808996,13.642499801556824,3.3077387985696878,0.31622776601683794,
588,J4K5succ250_ampGrad,3x,2,6,0,83-106,75-98,327.1272716529398,295.37522713586486,14.858638609290724,8.144003583156291,0.31622776601683794,
589,J4K5succ250_ampGrad,3x,2,6,50,98-121,90-113,330.15949231370007,291.90868834862215,13.748789870112828,11.504621681462991,0.31622776601683794,
590,J4K5succ250_ampGrad,3x,2,6,100,113-136,105-128,334.6034920363109,294.7180065093283,17.091603271235044,10.320537945627052,0.31622776601683794,
591,J4K5succ250_ampGrad,3x,2,6,150,128-152,120-143,335.9303104990658,298.5537931542057,22.81015746314239,5.1674804766376505,0.31622776601683794,
592,J4K5succ250_ampGrad,3x,2,6,200,143-167,135-158,336.29147865365184,291.0422418539135,24.070001682653643,8.8302480271293,0.31622776601683794,
593,J4K5succ250_ampGrad,3x,2,6,250,159-182,150-173,335.47761987638336,280.5489115693079,22.54024804447243,5.771224654543005,0.31622776601683794,
594,J4K5succ250_ampGrad,3x,2,6,300,174-197,165-188,332.26104840692767,295.3794215395089,19.95622311296768,5.233341188215434,0.31622776601683794,
595,J4K5succ250_ampGrad,3x,2,6,350,189-212,180-203,336.7360157314843,301.7712927600972,25.264233862501555,1.6096390332047577,0.31622776601683794,
596,J4K5succ250_ampGrad,3x,2,6,400,204-227,195-218,346.4342656142152,304.2086497239473,31.5053720190665,5.140773161049309,0.31622776601683794,
597,J4K5succ250_ampGrad,3x,2,6,450,219-242,210-234,340.1011095628556,300.68590192108815,27.72663650454461,11.068815339664695,0.31622776601683794,
598,J4K5succ250_ampGrad,3x,2,8,-150,38-61,30-53,330.9378379429001,277.69102901168003,13.957361432168566,9.991002122067755,0.31622776601683794,
