expt,cond,rep,time (h),position (μm),redPixelRange,greenPixelRange,greenX0,redX0,GFP shift (μm),RFP shift (μm),[Ampicillin] (mg/mL),[Kanamycin] (mg/mL)
J4K5succ250_kanGrad,30x,2,10,150,127-150,116-139,311.89436302645737,335.25450477315695,6.089139056767465,64.1506812643924,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,10,200,142-165,131-154,313.0175316052291,333.7071189752057,2.6974487033492665,57.72231170285545,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,10,250,157-180,146-170,313.04568859949075,513.7131208725983,2.1838450343545333,236.2502695167882,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,10,300,172-195,162-185,307.91154724068184,420.1492437837319,3.407219736127786,140.59553929873903,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,10,350,187-210,177-200,301.12821448665164,395.71239263135374,3.8311661536081942,129.850889263559,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,10,400,202-225,192-215,312.1992614298941,398.5616048470929,9.998490698059129,128.70458477263992,,1.5811388300841898
J4K5succ250_kanGrad,30x,2,10,450,217-241,207-230,317.11437565941355,432.24827461822986,4.0904237192664255,162.82867678853216,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,0,-150,23-46,27-50,266.77633889174547,277.25370984107474,0.0,0.0,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,0,-100,38-61,42-65,263.77810856934576,272.5737900139637,0.0,0.0,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,0,-50,53-77,57-80,265.50681508225153,275.6024487810818,0.0,0.0,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,0,0,69-92,72-95,268.2852185490286,272.4400001558802,0.0,0.0,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,0,50,84-107,87-111,267.5317181240381,272.3624730162462,0.0,0.0,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,0,100,99-122,103-126,264.08929999052646,275.677430946155,0.0,0.0,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,0,150,114-137,118-141,263.8434388586136,278.4469861877032,0.0,0.0,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,0,200,129-152,133-156,265.4955704644669,278.1223409223528,0.0,0.0,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,0,250,144-167,148-171,265.7561163855968,278.2893595031129,0.0,0.0,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,0,300,159-182,163-186,263.3862262375449,281.5069817695214,0.0,0.0,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,0,350,174-197,178-201,263.2138450639313,288.6166765465843,0.0,0.0,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,0,400,189-212,193-216,262.85176326806993,282.54126259372066,0.0,0.0,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,0,450,204-227,208-231,264.95340642545074,276.0316211806635,0.0,0.0,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,2,-150,23-46,27-50,266.18147387761235,281.0239796046213,-0.59486501413312,3.770269763546537,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,2,-100,38-61,42-65,263.1981433161652,276.0328596458557,-0.5799652531805464,3.459069631892021,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,2,-50,53-77,57-80,264.49639656603557,279.6546946973508,-1.0104185162159638,4.052245916268987,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,2,0,69-92,72-95,268.0376649454027,276.91314714364484,-0.24755360362593137,4.473146987764608,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,2,50,84-107,87-111,267.84981432285474,275.7225741946524,0.3180961988166473,3.3601011784061825,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,2,100,99-122,103-126,265.08174510631227,279.994893279825,0.992445115785813,4.317462333669994,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,2,150,114-137,118-141,263.8938753230416,283.1096514939428,0.05043646442800309,4.662665306239603,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,2,200,129-152,133-156,265.3771832405589,282.61177317952223,-0.1183872239079733,4.489432257169426,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,2,250,144-167,148-171,265.78400764486344,283.9759958570954,0.027891259266652924,5.6866363539825215,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,2,300,159-182,163-186,263.2816328861006,285.9601970087968,-0.1045933514442936,4.45321523927538,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,2,350,174-197,178-201,262.59999829600844,291.57394637456645,-0.613846767922837,2.957269827982145,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,2,400,189-212,193-216,263.5286351668602,287.0545068147146,0.6768718987902957,4.513244220993954,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,2,450,204-227,208-231,265.4735837023778,283.3726099618526,0.520177276927086,7.3409887811891394,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,4,-150,23-46,27-50,264.39562557279635,283.81788727371145,-2.3807133189491196,6.564177432636711,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,4,-100,38-61,42-65,261.1769726333452,280.3053037993888,-2.60113593600056,7.731513785425136,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,4,-50,53-77,57-80,261.0801352576178,283.0831724509493,-4.426679824633709,7.480723669867473,,1.5811388300841898
