expt,cond,rep,time (h),pixelRange,X0,shift (μm),redPixelRange,greenPixelRange,redX0,greenX0,RFP shift (μm),GFP shift (μm),[Ampicillin] (mg/mL),[Kanamycin] (mg/mL),position (μm)
250standalone_ampGrad,100x,2,4,116-140,305.35222312032244,2.296601553192545,,116-140,,305.35222312032244,,2.296601553192545,10.0,,
250standalone_ampGrad,100x,2,6,116-140,312.83692170302925,9.781300135899357,,116-140,,312.83692170302925,,9.781300135899357,10.0,,
250standalone_ampGrad,100x,2,8,116-140,329.3087380071812,26.253116440051315,,116-140,,329.3087380071812,,26.253116440051315,10.0,,
250standalone_ampGrad,100x,2,10,116-140,343.04760217813214,39.99198061100225,,116-140,,343.04760217813214,,39.99198061100225,10.0,,
250standalone_ampGrad,100x,3,0,116-140,314.0750426988357,0.0,,116-140,,314.0750426988357,,0.0,10.0,,
250standalone_ampGrad,100x,3,2,116-140,312.76167499694577,-1.3133677018899448,,116-140,,312.76167499694577,,-1.3133677018899448,10.0,,
250standalone_ampGrad,100x,3,4,116-140,314.3523357184729,0.27729301963717035,,116-140,,314.3523357184729,,0.27729301963717035,10.0,,
250standalone_ampGrad,100x,3,6,116-140,321.1648140414486,7.089771342612892,,116-140,,321.1648140414486,,7.089771342612892,10.0,,
250standalone_ampGrad,100x,3,8,116-140,338.9381813038732,24.863138605037477,,116-140,,338.9381813038732,,24.863138605037477,10.0,,
250standalone_ampGrad,100x,3,10,116-140,355.31925086219326,41.24420816335754,,116-140,,355.31925086219326,,41.24420816335754,10.0,,
250standalone_kanGrad,0x,1,0,116-140,312.33045989631,0.0,,116-140,,312.33045989631,,0.0,,0.0,
250standalone_kanGrad,0x,1,2,116-140,325.5177790718258,13.187319175515825,,116-140,,325.5177790718258,,13.187319175515825,,0.0,
250standalone_kanGrad,0x,1,4,116-140,365.5776425768742,53.24718268056421,,116-140,,365.5776425768742,,53.24718268056421,,0.0,
250standalone_kanGrad,0x,1,6,116-140,409.1476276586288,96.81716776231877,,116-140,,409.1476276586288,,96.81716776231877,,0.0,
250standalone_kanGrad,0x,1,8,116-140,421.9073465298675,109.57688663355748,,116-140,,421.9073465298675,,109.57688663355748,,0.0,
250standalone_kanGrad,0x,1,10,116-140,355.9550905629576,43.62463066664759,,116-140,,355.9550905629576,,43.62463066664759,,0.0,
250standalone_kanGrad,0x,2,0,116-140,314.20846938343624,0.0,,116-140,,314.20846938343624,,0.0,,0.0,
250standalone_kanGrad,0x,2,2,116-140,330.95157217199505,16.743102788558815,,116-140,,330.95157217199505,,16.743102788558815,,0.0,
250standalone_kanGrad,0x,2,4,116-140,369.36273295499717,55.15426357156093,,116-140,,369.36273295499717,,55.15426357156093,,0.0,
250standalone_kanGrad,0x,2,6,116-140,414.77945389714273,100.57098451370649,,116-140,,414.77945389714273,,100.57098451370649,,0.0,
250standalone_kanGrad,0x,2,8,116-140,431.2453822523016,117.03691286886539,,116-140,,431.2453822523016,,117.03691286886539,,0.0,
250standalone_kanGrad,0x,2,10,116-140,383.0660310050508,68.85756162161454,,116-140,,383.0660310050508,,68.85756162161454,,0.0,
250standalone_kanGrad,0x,3,0,116-140,306.81415314793543,0.0,,116-140,,306.81415314793543,,0.0,,0.0,
250standalone_kanGrad,0x,3,2,116-140,321.973645010725,15.159491862789594,,116-140,,321.973645010725,,15.159491862789594,,0.0,
250standalone_kanGrad,0x,3,4,116-140,355.2442103863899,48.43005723845448,,116-140,,355.2442103863899,,48.43005723845448,,0.0,
250standalone_kanGrad,0x,3,6,116-140,392.07599671535485,85.26184356741942,,116-140,,392.07599671535485,,85.26184356741942,,0.0,
250standalone_kanGrad,0x,3,8,116-140,428.37725071942253,121.5630975714871,,116-140,,428.37725071942253,,121.5630975714871,,0.0,
250standalone_kanGrad,0x,3,10,116-140,390.7770989341831,83.96294578624764,,116-140,,390.7770989341831,,83.96294578624764,,0.0,
250standalone_kanGrad,1x,1,0,116-140,319.5219902031328,0.0,,116-140,,319.5219902031328,,0.0,,0.05,
250standalone_kanGrad,1x,1,2,116-140,333.00525844261085,13.483268239478036,,116-140,,333.00525844261085,,13.483268239478036,,0.05,
250standalone_kanGrad,1x,1,4,116-140,354.4228748221165,34.900884618983696,,116-140,,354.4228748221165,,34.900884618983696,,0.05,
250standalone_kanGrad,1x,1,6,116-140,370.36109349551646,50.83910329238364,,116-140,,370.36109349551646,,50.83910329238364,,0.05,
250standalone_kanGrad,1x,1,8,116-140,390.6686861803749,71.14669597724208,,116-140,,390.6686861803749,,71.14669597724208,,0.05,
250standalone_kanGrad,1x,1,10,116-140,416.6953537607818,97.173363557649,,116-140,,416.6953537607818,,97.173363557649,,0.05,
250standalone_kanGrad,1x,2,0,116-140,328.0989902020983,0.0,,116-140,,328.0989902020983,,0.0,,0.05,
250standalone_kanGrad,1x,2,2,116-140,342.0743254113074,13.975335209209106,,116-140,,342.0743254113074,,13.975335209209106,,0.05,
250standalone_kanGrad,1x,2,4,116-140,364.0584926635488,35.959502461450484,,116-140,,364.0584926635488,,35.959502461450484,,0.05,
